name,type,class,attributes
/var/www/html,httpd_content_t,dir,"file_type,web_content"
/var/log/httpd,httpd_log_t,dir,"file_type,log_file"
/etc/httpd/conf,httpd_config_t,dir,"file_type,config_file"
/var/lib/postgresql,postgresql_db_t,dir,"file_type,database_content"
/etc/passwd,passwd_file_t,file,"file_type,authentication"
/etc/shadow,shadow_t,file,"file_type,authentication,sensitive"
/var/log/audit,audit_log_t,dir,"file_type,log_file,sensitive"
/var/log/secure,security_log_t,file,"file_type,log_file,sensitive"
/financial/ledger,financial_data_t,dir,"file_type,financial,sensitive"
/financial/transactions,financial_tx_t,dir,"file_type,financial,transactions,sensitive"
/customer/data,customer_db_t,dir,"file_type,customer,sensitive"
/financial/payments,payment_data_t,dir,"file_type,financial,payment,sensitive"
/financial/auditing,financial_audit_t,dir,"file_type,financial,audit,sensitive"
/backups/system,backup_t,dir,"file_type,backup"
/var/lib/payments,payment_proc_t,dir,"file_type,payment,sensitive"
