subject_name,object_name,permissions,conditions
httpd_t,/var/www/html,"read,search",[]
httpd_t,/var/log/httpd,"read,write,append",[]
httpd_t,/etc/httpd/conf,"read",[]
postgresql_t,/var/lib/postgresql,"read,write,manage",[]
sysadm_t,/etc/passwd,"read",[]
sysadm_t,/etc/shadow,"read",[]
sysadm_t,/var/log/audit,"read",[]
sysadm_t,/var/log/secure,"read",[]
audit_t,/var/log/audit,"read,append",[]
audit_t,/financial/auditing,"read,append",[]
finance_app_t,/financial/ledger,"read,write",[]
finance_app_t,/financial/transactions,"read,write",[]
finance_app_t,/customer/data,"read",[]
payment_proc_t,/financial/payments,"read,write",[]
payment_proc_t,/var/lib/payments,"read,write",[]
security_t,/var/log/secure,"read,write",[]
customer_data_t,/customer/data,"read,write",[]
finance_app_t,/financial/auditing,"read,write",[]
backup_t,/backups/system,"read,write",[]
backup_t,/var/www/html,"read",[]
backup_t,/var/lib/postgresql,"read",[]
user_t,/var/www/html,"read",[]
